held_out_site,roi_set,model,auc_point,auc_ci_low,auc_ci_high,seed_sd,seed_min,seed_max
NYU,12,brainnetcnn,0.575683269476373,0.5085561941251596,0.6418914431673052,0.0446012961587145,0.5355044699872287,0.6490421455938697
NYU,12,logreg,0.5600255427841634,0.4716443167305236,0.6463601532567049,,,
NYU,116,brainnetcnn,0.5454150702426566,0.4812765006385696,0.6075357598978289,0.0305273139909816,0.5037037037037038,0.5701149425287356
NYU,116,logreg,0.5565772669220944,0.4701149425287356,0.6390836526181354,,,
Peking,12,brainnetcnn,0.5622365484750806,0.4861629060252913,0.635234316885693,0.0235022624052872,0.5428961071162907,0.5928589139598314
Peking,12,logreg,0.5283907760971981,0.4406118274237541,0.6151748078353583,,,
Peking,116,brainnetcnn,0.5182494421026531,0.4582389040416564,0.5787013389536325,0.0277932136818334,0.4769402429952888,0.5504587155963303
Peking,116,logreg,0.5426481527398959,0.4528855690552938,0.6286914207785766,,,
NeuroIMAGE,12,brainnetcnn,0.6331550802139038,0.4780748663101605,0.7732620320855614,0.0179761885710926,0.6122994652406417,0.6577540106951871
NeuroIMAGE,12,logreg,0.6390374331550802,0.4572192513368984,0.8048128342245989,,,
NeuroIMAGE,116,brainnetcnn,0.5005347593582888,0.3882219251336899,0.6144385026737967,0.1300081278241931,0.2914438502673797,0.6443850267379679
NeuroIMAGE,116,logreg,0.5721925133689839,0.3877005347593583,0.7460561497326194,,,
OHSU,12,brainnetcnn,0.631015037593985,0.5039426691729324,0.7526315789473684,0.0372375015597859,0.5714285714285714,0.6625939849624061
OHSU,12,logreg,0.5328947368421053,0.3919172932330827,0.6710526315789473,,,
OHSU,116,brainnetcnn,0.4960526315789473,0.3928571428571429,0.6007518796992481,0.075599204340964,0.4285714285714285,0.6127819548872182
OHSU,116,logreg,0.443609022556391,0.3016917293233083,0.5892857142857143,,,
